branch,lead_months,circular_mae_rad,phasor_cosine,series,correlation,rmse,mae,r2
event,1,0.544542682453189,0.7601992447624427,,,,,
strength,1,,,IMF1_IA,0.9604663074967904,0.015834996618640646,0.01250655054266258,0.9156521202430327
strength,1,,,IMF2_IA,0.9976635192520389,0.00389034252729813,0.0030663765235653053,0.9931356867851066
strength,1,,,IMF3_IA,0.9966881842052361,0.01178029817752305,0.009145477747143775,0.9930141974114393
strength,1,,,IMF4_IA,0.997568839334864,0.016664860947361432,0.014101791441679938,0.9944644258539007
strength,1,,,IMF5_IA,0.9958007938246438,0.010897795344579075,0.010039197171001867,0.9713576364071417
strength,1,,,IMF6_IA,0.9976198040189407,0.009010779211351374,0.007685824601058387,0.9672676213397337
event,3,0.6387670806895556,0.6874839328562673,,,,,
strength,3,,,IMF1_IA,0.9129237499070819,0.022825548024457628,0.017552250675668485,0.8264158025961342
strength,3,,,IMF2_IA,0.9869656160031022,0.008215029712922015,0.006906198910371891,0.9672598616812744
strength,3,,,IMF3_IA,0.9908088448233745,0.019109092566213737,0.014999900038473995,0.9809637508181497
strength,3,,,IMF4_IA,0.9941492946708993,0.025801499040148494,0.020077179985210906,0.987167152416528
strength,3,,,IMF5_IA,0.9851380196924442,0.021344501117094728,0.019233191723094036,0.8733303058728398
strength,3,,,IMF6_IA,0.9919167651348518,0.015509758348651,0.012579542690349938,0.8961401475005013
event,6,0.7250823459595305,0.6259525717502121,,,,,
strength,6,,,IMF1_IA,0.8469665270006582,0.030569896726198028,0.023089943562722117,0.6882720094517946
strength,6,,,IMF2_IA,0.9804550645068315,0.009673998237088087,0.007099526086631079,0.9538586178584898
strength,6,,,IMF3_IA,0.9823202998088602,0.025594293076548848,0.019928382570020307,0.9642764506854435
strength,6,,,IMF4_IA,0.9809463242594749,0.04678646440456062,0.03492162105472221,0.9603949102157276
strength,6,,,IMF5_IA,0.9424709413957909,0.028726795207317645,0.02442593368391767,0.7203206679173517
strength,6,,,IMF6_IA,0.9915338310203167,0.030401379050731713,0.028169098005490393,0.5580082294094039
event,9,0.8480968909450327,0.5390063230172376,,,,,
strength,9,,,IMF1_IA,0.8130872562849593,0.03395290301789275,0.026200412147335136,0.6138289442066998
strength,9,,,IMF2_IA,0.9534684923292781,0.01441609746894262,0.011444440482326885,0.8974101979271194
strength,9,,,IMF3_IA,0.981464836962718,0.028206568953004715,0.02200149390917015,0.9566992867985324
strength,9,,,IMF4_IA,0.9665997959215146,0.06489542169537217,0.04853311410945144,0.9302066058184051
strength,9,,,IMF5_IA,0.8619274759121681,0.04000020107482328,0.03317650793759058,0.3830278799931557
strength,9,,,IMF6_IA,0.9771865781376684,0.020367961059655187,0.0164422585876489,0.7807221005988869
event,12,0.8464146701186372,0.5415467751471393,,,,,
strength,12,,,IMF1_IA,0.6490329468971473,0.04244501821650067,0.033028733903816554,0.3841455587310918
strength,12,,,IMF2_IA,0.9571127214638718,0.014557373882851811,0.01165673797328583,0.9010575632529636
strength,12,,,IMF3_IA,0.974970290065579,0.0348932395294656,0.02560535827604442,0.9405047806372412
strength,12,,,IMF4_IA,0.9583969151422426,0.07920172727257764,0.06390407557476167,0.9081550744420748
strength,12,,,IMF5_IA,0.6783984148741108,0.05539554247293382,0.0450952429607415,-0.1382277866722843
strength,12,,,IMF6_IA,0.9844161020761443,0.01922329421853979,0.01566740961978959,0.7849177091967557
