method,lead_months,n,correlation,rmse,mae,bias
M0 Persistence,3,4,0.8455283146970932,0.6319810123729984,0.56,-0.56
M0 Persistence,6,4,0.5921760209710112,1.010692831675381,0.91,-0.91
M0 Persistence,9,4,-0.055970830943980726,1.6169260960229443,1.38,-1.38
M1 Direct NN,3,4,-0.7056234012141492,1.4129784538593395,1.2719402211958473,-1.2719402211958473
M1 Direct NN,6,4,-0.7571819991525508,1.5305854151735476,1.3038348290844937,-1.3038348290844937
M1 Direct NN,9,4,-0.38285276620953645,1.4770269769645799,1.2778474300786997,-1.228526305811217
M2 HHSA single ResNet,3,4,0.6447190058488214,0.8699693304474333,0.6977756115812723,-0.6395286326408245
M2 HHSA single ResNet,6,4,0.4810602095201549,1.4303902314862875,1.2978298708635272,-1.2978298708635272
M2 HHSA single ResNet,9,4,-0.4544707665691069,1.9013922826083811,1.746850702588535,-1.746850702588535
M4 Dual physical reconstruction,3,4,0.1900962278571192,1.1909534035273566,1.0175051332963343,-1.0175051332963343
M4 Dual physical reconstruction,6,4,0.11925752174140125,1.3026599581667586,1.1481802230000713,-1.1481802230000713
M4 Dual physical reconstruction,9,4,-0.04822165375409291,1.793937700613678,1.5166909314597867,-1.5166909314597867
