event,peak_date,representation,lead_months,observed_peak,predicted_peak,seed_std,error,absolute_error
1,2015-11-01,EMD-only,3,2.21,-0.19417164305797896,0.24021169420550811,-2.404171643057979,2.404171643057979
1,2015-11-01,EMD-only,6,2.21,-0.6181867426943634,0.2548314659170189,-2.8281867426943634,2.8281867426943634
1,2015-11-01,EMD-only,9,2.21,-1.0285550093775044,0.15174778319338567,-3.2385550093775044,3.2385550093775044
1,2015-11-01,Full HHSA,3,2.21,0.0068911396751904636,0.12816049644454908,-2.2031088603248095,2.2031088603248095
1,2015-11-01,Full HHSA,6,2.21,-0.6030905533142245,0.21003642287848492,-2.8130905533142245,2.8130905533142245
1,2015-11-01,Full HHSA,9,2.21,-0.28371238670509125,0.2660535882780609,-2.4937123867050914,2.4937123867050914
1,2015-11-01,Raw,3,2.21,0.3974847982394738,0.0666374043490107,-1.8125152017605262,1.8125152017605262
1,2015-11-01,Raw,6,2.21,-0.14673341808024173,0.07032198233479248,-2.3567334180802417,2.3567334180802417
1,2015-11-01,Raw,9,2.21,-0.4315874422507142,0.2602865703778378,-2.641587442250714,2.641587442250714
2,2018-11-01,EMD-only,3,1.15,0.056610980851399796,0.1809829570087659,-1.0933890191486002,1.0933890191486002
2,2018-11-01,EMD-only,6,1.15,0.191505131369864,0.10090118690485123,-0.9584948686301359,0.9584948686301359
2,2018-11-01,EMD-only,9,1.15,1.2531809106703111,0.31314717219686306,0.10318091067031121,0.10318091067031121
2,2018-11-01,Full HHSA,3,1.15,-0.08033668531486053,0.3330521195781922,-1.2303366853148605,1.2303366853148605
2,2018-11-01,Full HHSA,6,1.15,0.17966515195913565,0.2756686606786017,-0.9703348480408642,0.9703348480408642
2,2018-11-01,Full HHSA,9,1.15,0.5723490336726068,0.4583767019339969,-0.5776509663273931,0.5776509663273931
2,2018-11-01,Raw,3,1.15,1.2686464053795279,0.18607362875407385,0.11864640537952797,0.11864640537952797
2,2018-11-01,Raw,6,1.15,1.1205255923061286,0.1017066851814522,-0.02947440769387133,0.02947440769387133
2,2018-11-01,Raw,9,1.15,0.438431959280938,0.18589359545528575,-0.7115680407190619,0.7115680407190619
3,2020-01-01,EMD-only,3,0.84,1.2537525190400267,0.1261667034176763,0.41375251904002674,0.41375251904002674
3,2020-01-01,EMD-only,6,0.84,1.1613721854523422,0.4387379822258429,0.32137218545234225,0.32137218545234225
3,2020-01-01,EMD-only,9,0.84,0.8535928641412402,0.3941333300257365,0.01359286414124028,0.01359286414124028
3,2020-01-01,Full HHSA,3,0.84,0.5482711557071928,0.3221731678931245,-0.2917288442928072,0.2917288442928072
3,2020-01-01,Full HHSA,6,0.84,-0.08685364282437946,0.32033478198511084,-0.9268536428243794,0.9268536428243794
3,2020-01-01,Full HHSA,9,0.84,-0.10627814857055405,0.5383591853510441,-0.946278148570554,0.946278148570554
3,2020-01-01,Raw,3,0.84,0.6115997468256088,0.099637139608221,-0.22840025317439117,0.22840025317439117
3,2020-01-01,Raw,6,0.84,0.1528346733757101,0.44113760152087084,-0.6871653266242899,0.6871653266242899
3,2020-01-01,Raw,9,0.84,-0.18992660545139864,0.504691045319679,-1.0299266054513987,1.0299266054513987
4,2023-11-01,EMD-only,3,1.86,0.6760655697849872,0.3975035773879148,-1.1839344302150128,1.1839344302150128
4,2023-11-01,EMD-only,6,1.86,0.0024694672774888266,0.26634592879079944,-1.8575305327225113,1.8575305327225113
4,2023-11-01,EMD-only,9,1.86,0.33731296251692783,0.1589580090604914,-1.5226870374830723,1.5226870374830723
4,2023-11-01,Full HHSA,3,1.86,0.7403090289054856,0.26672117803507245,-1.1196909710945144,1.1196909710945144
4,2023-11-01,Full HHSA,6,1.86,0.7511584314499399,0.04022588037568725,-1.1088415685500603,1.1088415685500603
4,2023-11-01,Full HHSA,9,1.86,0.2709457752053923,0.23147638295043102,-1.5890542247946078,1.5890542247946078
4,2023-11-01,Raw,3,1.86,1.3744170541172485,0.18495001911385386,-0.48558294588275164,0.48558294588275164
4,2023-11-01,Raw,6,1.86,0.6946109936569602,0.15164211090699595,-1.1653890063430399,1.1653890063430399
4,2023-11-01,Raw,9,1.86,0.08422085066264327,0.4676513986891175,-1.775779149337357,1.775779149337357
