event,peak_date,origin_date,representation,seed,lead_months,observed_peak,predicted_peak,error,absolute_error
1,2015-11-01,2015-08-01,Raw,42,3,2.21,0.41281521214040623,-1.7971847878595937,1.7971847878595937
1,2015-11-01,2015-08-01,Raw,52,3,2.21,0.3245181558867661,-1.885481844113234,1.885481844113234
1,2015-11-01,2015-08-01,Raw,62,3,2.21,0.45512102669124926,-1.7548789733087506,1.7548789733087506
1,2015-11-01,2015-08-01,EMD-only,42,3,2.21,0.07468325342850457,-2.1353167465714953,2.1353167465714953
1,2015-11-01,2015-08-01,EMD-only,52,3,2.21,-0.26952759640298546,-2.4795275964029853,2.4795275964029853
1,2015-11-01,2015-08-01,EMD-only,62,3,2.21,-0.38767058619945605,-2.597670586199456,2.597670586199456
1,2015-11-01,2015-08-01,Full HHSA,42,3,2.21,-0.13829526443245693,-2.348295264432457,2.348295264432457
1,2015-11-01,2015-08-01,Full HHSA,52,3,2.21,0.0546691468752262,-2.1553308531247737,2.1553308531247737
1,2015-11-01,2015-08-01,Full HHSA,62,3,2.21,0.10429953658280217,-2.1057004634171976,2.1057004634171976
1,2015-11-01,2015-05-01,Raw,42,6,2.21,-0.16701283914263243,-2.3770128391426324,2.3770128391426324
1,2015-11-01,2015-05-01,Raw,52,6,2.21,-0.20468731966153147,-2.4146873196615313,2.4146873196615313
1,2015-11-01,2015-05-01,Raw,62,6,2.21,-0.06850009543656145,-2.2785000954365615,2.2785000954365615
1,2015-11-01,2015-05-01,EMD-only,42,6,2.21,-0.7275034539817149,-2.937503453981715,2.937503453981715
1,2015-11-01,2015-05-01,EMD-only,52,6,2.21,-0.8001218537745283,-3.0101218537745282,3.0101218537745282
1,2015-11-01,2015-05-01,EMD-only,62,6,2.21,-0.3269349203268468,-2.5369349203268468,2.5369349203268468
1,2015-11-01,2015-05-01,Full HHSA,42,6,2.21,-0.4609193729159328,-2.670919372915933,2.670919372915933
1,2015-11-01,2015-05-01,Full HHSA,52,6,2.21,-0.8443402276607221,-3.054340227660722,3.054340227660722
1,2015-11-01,2015-05-01,Full HHSA,62,6,2.21,-0.5040120593660183,-2.714012059366018,2.714012059366018
1,2015-11-01,2015-02-01,Raw,42,9,2.21,-0.7304939447357884,-2.9404939447357883,2.9404939447357883
1,2015-11-01,2015-02-01,Raw,52,9,2.21,-0.30934220082444924,-2.519342200824449,2.519342200824449
1,2015-11-01,2015-02-01,Raw,62,9,2.21,-0.2549261811919049,-2.4649261811919048,2.4649261811919048
1,2015-11-01,2015-02-01,EMD-only,42,9,2.21,-1.1950476471186864,-3.4050476471186863,3.4050476471186863
1,2015-11-01,2015-02-01,EMD-only,52,9,2.21,-0.8980060384925238,-3.108006038492524,3.108006038492524
1,2015-11-01,2015-02-01,EMD-only,62,9,2.21,-0.9926113425213031,-3.202611342521303,3.202611342521303
1,2015-11-01,2015-02-01,Full HHSA,42,9,2.21,-0.41109139254772464,-2.621091392547725,2.621091392547725
1,2015-11-01,2015-02-01,Full HHSA,52,9,2.21,-0.4621291693042846,-2.6721291693042843,2.6721291693042843
