experiment,representation,seed,lead_months,n,correlation,rmse,mae,r2
OFFLINE_DIAGNOSTIC,Raw,42,1,130,0.8241738105523032,0.6151934881877051,0.4893556540472817,0.39975957522077654
OFFLINE_DIAGNOSTIC,Raw,42,3,130,0.676486924367855,0.6798625439121699,0.5311199858237265,0.26825344111995164
OFFLINE_DIAGNOSTIC,Raw,42,6,130,0.36323775273176573,0.8539133308644464,0.6774783078788549,-0.14263268226221615
OFFLINE_DIAGNOSTIC,Raw,42,9,130,0.2237595617305382,0.9099571793033188,0.7028190662242292,-0.3186637629044007
OFFLINE_DIAGNOSTIC,Raw,42,12,130,0.24394188684156928,0.9270365904845966,0.7294368821537514,-0.38651338472867525
OFFLINE_DIAGNOSTIC,Raw,52,1,130,0.7987166806635149,0.5208584353556501,0.4385468201794282,0.5697298824914623
OFFLINE_DIAGNOSTIC,Raw,52,3,130,0.6462187175011018,0.6564162932142564,0.5472380237539738,0.3178542722384292
OFFLINE_DIAGNOSTIC,Raw,52,6,130,0.43615976780531,0.7998620955060614,0.6601746705556524,-0.0025574944579003223
OFFLINE_DIAGNOSTIC,Raw,52,9,130,0.25487155560485214,0.856243953086029,0.6878625055176879,-0.167581473354512
OFFLINE_DIAGNOSTIC,Raw,52,12,130,0.2272539523180374,0.9123544445132801,0.6996692250116289,-0.34294274696980365
OFFLINE_DIAGNOSTIC,Raw,62,1,130,0.7821837349990801,0.5230911399878139,0.42597217110554064,0.5660331963743493
OFFLINE_DIAGNOSTIC,Raw,62,3,130,0.5147673533867149,0.7159999760804777,0.5781403669204952,0.18839544750839177
OFFLINE_DIAGNOSTIC,Raw,62,6,130,0.18201811291910258,0.8927780145214637,0.7227237710882382,-0.24901032444158488
OFFLINE_DIAGNOSTIC,Raw,62,9,130,0.15988893348916644,0.8974303411988167,0.7128868362958893,-0.282607151927319
OFFLINE_DIAGNOSTIC,Raw,62,12,130,0.2417675143630566,0.8710127456219137,0.699703648863747,-0.22399412754554415
OFFLINE_DIAGNOSTIC,Raw,72,1,130,0.8533092587355621,0.4237104832870163,0.33569832906060565,0.7152654292747442
OFFLINE_DIAGNOSTIC,Raw,72,3,130,0.6934889239458328,0.5910848801825126,0.4879107824521341,0.446881531751384
OFFLINE_DIAGNOSTIC,Raw,72,6,130,0.4265318191842979,0.8105048031830476,0.6449236464128133,-0.02941440318404398
OFFLINE_DIAGNOSTIC,Raw,72,9,130,0.24229917234075005,0.8693227008099305,0.6723928712189072,-0.20352246558190323
OFFLINE_DIAGNOSTIC,Raw,72,12,130,0.2696563681691418,0.8491080815502727,0.6497955125944204,-0.16320500628520107
OFFLINE_DIAGNOSTIC,Raw,82,1,130,0.771177218387007,0.5499775976116589,0.44699471289536175,0.5202756308871985
OFFLINE_DIAGNOSTIC,Raw,82,3,130,0.603156013483474,0.707393858895107,0.574011924222766,0.20778870637921176
OFFLINE_DIAGNOSTIC,Raw,82,6,130,0.3910931404786198,0.8296481004932424,0.6911711276394151,-0.07861610630124827
OFFLINE_DIAGNOSTIC,Raw,82,9,130,0.27285213820931953,0.9073485114891466,0.7390570194388149,-0.31111390241261816
OFFLINE_DIAGNOSTIC,Raw,82,12,130,0.2050364130125523,0.9314247079314611,0.7262297275489026,-0.3996705423732838
OFFLINE_DIAGNOSTIC,EMD-only,42,1,130,0.8745381550863259,0.3930274766469292,0.30873318226917945,0.7550104233131312
OFFLINE_DIAGNOSTIC,EMD-only,42,3,130,0.8250908713993353,0.4601788384728937,0.3588731769922594,0.66474771547098
OFFLINE_DIAGNOSTIC,EMD-only,42,6,130,0.6982452688746966,0.5732951554351791,0.4505399330944792,0.4849663577106531
OFFLINE_DIAGNOSTIC,EMD-only,42,9,130,0.7837178199256133,0.4922905494399808,0.38146554034058444,0.6140463454585704
OFFLINE_DIAGNOSTIC,EMD-only,42,12,130,0.8482247528117359,0.4241308426847563,0.3212655396175376,0.7097782044497976
OFFLINE_DIAGNOSTIC,EMD-only,52,1,130,0.9151883570805782,0.3250635400614209,0.26859764491223126,0.832413781089993
OFFLINE_DIAGNOSTIC,EMD-only,52,3,130,0.9023914424479235,0.3441437418352904,0.27073860308902736,0.8125013212635097
OFFLINE_DIAGNOSTIC,EMD-only,52,6,130,0.8622409063620873,0.42024435363412094,0.3146063950898151,0.723253059293706
OFFLINE_DIAGNOSTIC,EMD-only,52,9,130,0.8380825249805405,0.4337957099474642,0.3313832467424442,0.7003166148880313
OFFLINE_DIAGNOSTIC,EMD-only,52,12,130,0.6917884691211756,0.5910119944888826,0.4663852480803048,0.4364623926823361
OFFLINE_DIAGNOSTIC,EMD-only,62,1,130,0.9029259557564314,0.34711847211485225,0.27157398047715187,0.8089015202147007
OFFLINE_DIAGNOSTIC,EMD-only,62,3,130,0.8640934476774804,0.4072023891088302,0.31381775479106844,0.7374940850624141
OFFLINE_DIAGNOSTIC,EMD-only,62,6,130,0.7969819442838062,0.5114722200702609,0.4005235275811198,0.5900573013088048
OFFLINE_DIAGNOSTIC,EMD-only,62,9,130,0.8240204760267713,0.4526658462865243,0.36014631855420504,0.6736770513997454
OFFLINE_DIAGNOSTIC,EMD-only,62,12,130,0.7566484932410429,0.5289776442170189,0.40924415922858876,0.5485548930454553
OFFLINE_DIAGNOSTIC,EMD-only,72,1,130,0.8940370479913236,0.36121588954802425,0.26228899340662354,0.7930642746416
OFFLINE_DIAGNOSTIC,EMD-only,72,3,130,0.9007855367215948,0.3564456081353496,0.28243701273182104,0.7988569668221308
OFFLINE_DIAGNOSTIC,EMD-only,72,6,130,0.8071578379406287,0.4720755905550717,0.37572822451056576,0.6507775580258849
OFFLINE_DIAGNOSTIC,EMD-only,72,9,130,0.8131946186633352,0.46167873467827353,0.35690564868152275,0.6605530566275543
OFFLINE_DIAGNOSTIC,EMD-only,72,12,130,0.8045637983636018,0.47335316759368345,0.3744772680586852,0.6385061698825276
OFFLINE_DIAGNOSTIC,EMD-only,82,1,130,0.9178170355784921,0.32378972845133314,0.2673664120163178,0.8337246325458727
OFFLINE_DIAGNOSTIC,EMD-only,82,3,130,0.902968252418112,0.35426503578087676,0.2837073669409026,0.8013104426312603
OFFLINE_DIAGNOSTIC,EMD-only,82,6,130,0.8940809927825912,0.37412477719405574,0.27437507382944154,0.7806629505046226
OFFLINE_DIAGNOSTIC,EMD-only,82,9,130,0.789862901033688,0.489356257598958,0.35989568782633485,0.6186335776636367
OFFLINE_DIAGNOSTIC,EMD-only,82,12,130,0.7932537670883002,0.4836796646290827,0.37740842350716025,0.6225616966539473
OFFLINE_DIAGNOSTIC,Full HHSA,42,1,130,0.8852240625651595,0.36968117088492053,0.2931977373458975,0.7832513290139065
OFFLINE_DIAGNOSTIC,Full HHSA,42,3,130,0.8826312846270066,0.4644670221072565,0.35911483343954637,0.6584704967163459
OFFLINE_DIAGNOSTIC,Full HHSA,42,6,130,0.7805668182184569,0.5450146109347024,0.43646821741374353,0.5345260885731978
OFFLINE_DIAGNOSTIC,Full HHSA,42,9,130,0.6537475371392661,0.691989071043988,0.5471642594515314,0.23741083370381733
OFFLINE_DIAGNOSTIC,Full HHSA,42,12,130,0.5652574549319992,0.7006774018936986,0.5835648974045363,0.2079245809381608
OFFLINE_DIAGNOSTIC,Full HHSA,52,1,130,0.7312260366723669,0.5695271168414288,0.46506367668603704,0.48556489752447807
OFFLINE_DIAGNOSTIC,Full HHSA,52,3,130,0.7197212279209461,0.5887002499159119,0.4873410462845401,0.45133545192239943
OFFLINE_DIAGNOSTIC,Full HHSA,52,6,130,0.7109788477097307,0.5908402400358719,0.44836379649976976,0.4529598702357248
OFFLINE_DIAGNOSTIC,Full HHSA,52,9,130,0.6161188753969272,0.6347754612056695,0.5257157119716827,0.3582994379963299
OFFLINE_DIAGNOSTIC,Full HHSA,52,12,130,0.5911611942821728,0.6430421541371447,0.5129959396161927,0.332871950055466
OFFLINE_DIAGNOSTIC,Full HHSA,62,1,130,0.798755169323119,0.4791157298641173,0.39581475856921455,0.6359318893471345
OFFLINE_DIAGNOSTIC,Full HHSA,62,3,130,0.8841417243186942,0.39224732139299945,0.3045457460879674,0.7564217915297745
OFFLINE_DIAGNOSTIC,Full HHSA,62,6,130,0.8146608573025104,0.5138207255793531,0.4047121065294413,0.5862840250135999
OFFLINE_DIAGNOSTIC,Full HHSA,62,9,130,0.7286549756540497,0.6632607726204098,0.5436103742473605,0.2994150795565448
OFFLINE_DIAGNOSTIC,Full HHSA,62,12,130,0.5976779307855922,0.6694236517012837,0.5226113039210333,0.2770097859588069
OFFLINE_DIAGNOSTIC,Full HHSA,72,1,130,0.6925926607099999,0.6279553608665037,0.48582911007248575,0.3745979134095241
OFFLINE_DIAGNOSTIC,Full HHSA,72,3,130,0.7123860951661996,0.5659339664783688,0.46776174090700895,0.4929509426830009
OFFLINE_DIAGNOSTIC,Full HHSA,72,6,130,0.6286365416911032,0.6734110413529761,0.5232525951715344,0.28937657348876455
OFFLINE_DIAGNOSTIC,Full HHSA,72,9,130,0.5940116274361701,0.6689944667588991,0.5307748340356412,0.287250023371046
OFFLINE_DIAGNOSTIC,Full HHSA,72,12,130,0.5875152683437396,0.6511552487974157,0.5178154878936272,0.3159317950038466
OFFLINE_DIAGNOSTIC,Full HHSA,82,1,130,0.8036509077496116,0.5256286445005832,0.4116345817147805,0.5618126559369736
OFFLINE_DIAGNOSTIC,Full HHSA,82,3,130,0.7886756848868243,0.5368260490834742,0.43298025310884003,0.5437681276434085
OFFLINE_DIAGNOSTIC,Full HHSA,82,6,130,0.7204781649024254,0.5734074052115397,0.4773892679111104,0.4847646533341877
OFFLINE_DIAGNOSTIC,Full HHSA,82,9,130,0.8072730348432103,0.5285257598254457,0.43589338383851306,0.5551388514838032
OFFLINE_DIAGNOSTIC,Full HHSA,82,12,130,0.7349015846210732,0.5608737525615416,0.4400199230574787,0.49247136875402897
