representation,lead_months,rmse_mean,rmse_std,r2_mean,r2_std,correlation_mean
EMD-only,1,0.35004302136451193,0.028697818918179966,0.8046229263610595,0.032529026126863834,0.9009013102986302
EMD-only,3,0.38444712266664816,0.04891957844533434,0.7629821062500589,0.06226526801147472,0.8790659101328892
EMD-only,6,0.4702424193777377,0.07755889876037537,0.6459434453687343,0.11531085591048397,0.811741390048762
EMD-only,9,0.4659574195902402,0.02485099585756924,0.6534453292075076,0.03681337311116727,0.8097756681259897
EMD-only,12,0.5002306627226848,0.06295863132722368,0.5911726713428128,0.10373590124420445,0.7788958561251713
Full HHSA,1,0.5143816045915107,0.0977860150757729,0.5682317370464034,0.15426098353641224,0.7822897674040513
Full HHSA,3,0.5096349217956021,0.0805919565414056,0.5805893620989859,0.12522518070392472,0.7975112033839341
Full HHSA,6,0.5792988046228886,0.06018266194020648,0.46958224212909494,0.11271413086526456,0.7310642459648453
Full HHSA,9,0.6375091062908824,0.06424053514780448,0.34750284522230823,0.12378647367513995,0.6799612100939247
Full HHSA,12,0.6450344418182169,0.05199862418641804,0.32524189614206184,0.10511931448999158,0.6153026865929154
Raw,1,0.5265662288859689,0.0689689111656453,0.5542127428497061,0.11327619024741882,0.8059121406674935
Raw,3,0.6701515104569047,0.05005888208811665,0.2858346797994737,0.10350847879965597,0.6268235865369957
Raw,6,0.8373412689136522,0.037188490065667955,-0.10044620212939873,0.09868544241586802,0.35980811862381923
Raw,9,0.8880605371774483,0.023993143040347286,-0.25669775123615063,0.06753059148081265,0.23073427227492527
Raw,12,0.8981873140203049,0.036348799568932756,-0.3032651615805016,0.10452191017170741,0.2375312269408715
